,price,rank,title,no_of_reviews,ratings,author,cover_type,year
861,9.87,64,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",11620.00,4.8,Brené Brown,Paperback,2019
862,13.29,65,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750.00,4.7,Paulo Coelho,Paperback,2019
863,24.29,66,"Publication Manual of the American Psychological Association, 6th Edition",12674.00,4.5,American Psychological Association,Paperback,2019
864,4.98,67,The Pout-Pout Fish,23576.00,4.9,Deborah Diesen,Board book,2019
865,13.38,68,Talking to Strangers: What We Should Know about the People We Don't Know,15461.00,4.5,Malcolm Gladwell,Hardcover,2019
866,5,69,Dear Zoo: A Lift-the-Flap Book,26396.00,4.8,Rod Campbell,Board book,2019
867,14.29,70,The Overstory: A Novel,16428.00,4.4,Richard Powers,Paperback,2019
868,8.29,71,Fahrenheit 451,34955.00,4.6,Ray Bradbury,Paperback,2019
869,18.29,72,StrengthsFinder 2.0,7082.00,4.1,Gallup,Hardcover,2019
870,18.14,73,12 Rules for Life: An Antidote to Chaos,58074.00,4.8,Jordan B. Peterson,Hardcover,2019
871,8.31,74,Eleanor Oliphant Is Completely Fine: A Novel,59925.00,4.5,Gail Honeyman,Paperback,2019
872,14.71,75,Me: Elton John Official Autobiography,21207.00,4.8,Elton John,Hardcover,2019
873,11.99,76,The Road Back to You: An Enneagram Journey to Self-Discovery,10495.00,4.7,Ian Morgan Cron,Hardcover,2019
874,9.57,77,The Tattooist of Auschwitz: A Novel,55794.00,4.7,Heather Morris,Paperback,2019
875,10.99,78,People of Walmart Adult Coloring Book: Rolling Back Dignity,10544.00,4.7,Andrew Kipple,Paperback,2019
876,6.79,79,The Great Gatsby: The Only Authorized Edition,18656.00,4.5,F. Scott Fitzgerald,Paperback,2019
877,13,80,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,19201.00,4.8,America's Test Kitchen Kids,Hardcover,2019
878,8.6,81,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",8470.00,4.8,Rachel Maddow,Hardcover,2019
879,4.98,82,Love You Forever,53161.00,4.9,Robert Munsch,Paperback,2019
880,8.94,83,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet",15796.00,4.4,Jen Fisch,Paperback,2019
881,8.14,84,The Giving Tree,27476.00,4.9,Shel Silverstein,Hardcover,2019
882,8.95,85,Dragons Love Tacos,15753.00,4.8,Adam Rubin,Hardcover,2019
883,10.5,86,How to Win Friends & Influence People,79094.00,4.7,Dale Carnegie,Paperback,2019
884,16.59,87,Magnolia Table,32326.00,4.8,Joanna Gaines,Hardcover,2019
885,16.95,88,The Obesity Code - Unlocking the Secrets of Weight Loss (Book 1),25528.00,4.6,Dr. Jason Fung,Paperback,2019
886,11,89,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",19363.00,4.8,Mary Pope Osborne,Paperback,2019
887,8.09,90,Then She Was Gone: A Novel,49979.00,4.5,Lisa Jewell,Paperback,2019
888,13.98,91,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,7648.00,4.4,David McCullough,Hardcover,2019
889,11.66,92,Wacky Waving Inflatable Tube Guy (RP Minis),38588.00,4,Conor Riordan,Paperback,2019
890,21.99,93,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",10982.00,4.7,Anthony William,Hardcover,2019
891,9.48,94,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24544.00,4.8,Valorie Schaefer,Paperback,2019
892,5.98,95,There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),24728.00,4.8,Tish Rabe,Hardcover,2019
893,4.99,96,How to Draw 101 Animals (1),24653.00,4.7,Dan Green,Paperback,2019
894,,,,,,,,2019
895,15.9,98,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,9484.00,4.6,Suzanne Ryan,Paperback,2019
896,9.49,99,The Outsiders,30584.00,4.8,S. E. Hinton,Paperback,2019
897,6.99,100,The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,16760.00,4.6,Crazy Corey,Paperback,2019
